TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION,IS_NULLABLE,COMMENT
INVENTORY_HISTORY,STORE_ID,NUMBER,1,YES,
INVENTORY_HISTORY,STORE_NAME,TEXT,2,YES,
INVENTORY_HISTORY,STOCK_DATE,DATE,3,YES,
INVENTORY_HISTORY,USE_UNTIL,DATE,4,YES,
INVENTORY_HISTORY,PRODUCT_ID,TEXT,5,YES,
INVENTORY_HISTORY,CURRENT_QUANTITY_IN_STOCK,NUMBER,6,YES,
INVENTORY_HISTORY,AVG_PRICE_PER_UNIT,FLOAT,7,YES,
INVENTORY_HISTORY,QUANTITY_IN_STOCK,FLOAT,8,YES,
INVENTORY_HISTORY,AVG_COST_PER_UNIT,FLOAT,9,YES,
INVENTORY_HISTORY,LAST_UPDATED,TIMESTAMP_LTZ,10,YES,
INVENTORY_HISTORY,BRIDGE_SHARE_STOCK_ID,TEXT,11,YES,
INVENTORY_HISTORY,ACCOUNT_ID,TEXT,12,YES,
PRODUCTS,PRODUCT_ID,TEXT,1,YES,
PRODUCTS,STORE_ID,NUMBER,2,YES,
PRODUCTS,STORE_NAME,TEXT,3,YES,
PRODUCTS,PRODUCT_NAME,TEXT,4,YES,
PRODUCTS,BRAND,TEXT,5,YES,
PRODUCTS,CATEGORY,TEXT,6,YES,
PRODUCTS,UNIT,TEXT,7,YES,
PRODUCTS,VENDOR,TEXT,8,YES,
PRODUCTS,STRAIN,TEXT,9,YES,
PRODUCTS,THC_RESULT,TEXT,10,YES,
PRODUCTS,CBD_RESULT,TEXT,11,YES,
PRODUCTS,NON_CANNABIS,NUMBER,12,YES,
PRODUCTS,PREDICTED_CATEGORY,TEXT,13,YES,
PRODUCTS,FIRST_SALE,TIMESTAMP_NTZ,14,YES,
PRODUCTS,LAST_SALE,TIMESTAMP_NTZ,15,YES,
PRODUCTS,QUANTITY_IN_STOCK,NUMBER,16,YES,
PRODUCTS,FIRST_STOCK_UPDATE,TIMESTAMP_NTZ,17,YES,
PRODUCTS,LAST_STOCK_UPDATE,TIMESTAMP_NTZ,18,YES,
PRODUCTS,SKU_AGG,ARRAY,19,YES,
PRODUCTS,_LAST_UPDATE,TIMESTAMP_LTZ,20,YES,
PRODUCTS,VENDOR_LOWER,TEXT,21,YES,
PRODUCTS,BRAND_LOWER,TEXT,22,YES,
PRODUCTS,VENDOR_BRAND_LOWER,TEXT,23,YES,
PRODUCTS,ACCOUNT_ID,TEXT,24,YES,
SALES,STORE_ID,NUMBER,1,YES,
SALES,STORE_NAME,TEXT,2,YES,
SALES,RECEIPT_ITEM_ID,NUMBER,3,YES,
SALES,RECEIPT_ID,NUMBER,4,YES,
SALES,SOLD_DATE,TIMESTAMP_NTZ,5,YES,
SALES,PRODUCT_NAME,TEXT,6,YES,
SALES,QUANTITY,FLOAT,7,YES,
SALES,UNIT_COST,FLOAT,8,YES,
SALES,BASE_PRICE,NUMBER,9,YES,
SALES,DISCOUNT,NUMBER,10,YES,
SALES,TOTAL_COST,FLOAT,11,YES,
SALES,REVENUE,NUMBER,12,YES,
SALES,CUSTOMER_KEY,TEXT,13,YES,
SALES,AGE_AT_PURCHASE,NUMBER,14,YES,
SALES,PRODUCT_ID,TEXT,15,YES,
SALES,SKU,TEXT,16,YES,
SALES,DATA_SOURCE_NAME,TEXT,17,YES,
SALES,CREATED_ON,TIMESTAMP_NTZ,18,YES,
SALES,METRC_PACKAGES,ARRAY,19,YES,
SALES,_LAST_UPDATE,TIMESTAMP_LTZ,20,YES,
SALES,ACCOUNT_ID,TEXT,21,YES,
STORES,STORE_ID,NUMBER,1,YES,
STORES,STORE_NAME,TEXT,2,YES,
STORES,ADDRESS,TEXT,3,YES,
STORES,CITY,TEXT,4,YES,
STORES,STATE,TEXT,5,YES,
STORES,POSTAL_CODE,TEXT,6,YES,
STORES,SIGNUP_DATE,TIMESTAMP_NTZ,7,YES,
STORES,QUANTITY_IN_STOCK,NUMBER,8,YES,
STORES,LAST_STORE_STOCK_UPDATE,TIMESTAMP_NTZ,9,YES,
STORES,CUSTOM_ID,TEXT,10,YES,
STORES,ACCOUNT_ID,TEXT,11,YES,
