TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION,IS_NULLABLE,COMMENT
CUSTOMERS,CUSTOMER_KEY,TEXT,1,YES,
CUSTOMERS,FIRST_NAME,TEXT,2,YES,
CUSTOMERS,FIRST_TRANSACTION_DATE,DATE,3,YES,
CUSTOMERS,GENDER,TEXT,4,YES,
CUSTOMERS,BIRTH_YEAR,NUMBER,5,YES,
CUSTOMERS,AGE,TEXT,6,YES,
CUSTOMERS,REFERRAL_SOURCE,TEXT,7,YES,
CUSTOMERS,POS_CUSTOMER_ID,TEXT,8,YES,
CUSTOMERS,PHONE_NUMBER,TEXT,9,YES,
CUSTOMERS,EMAIL,TEXT,10,YES,
CUSTOMERS,NUM_TOTAL_TRANSACTIONS,NUMBER,11,YES,
CUSTOMERS,EXTRA_DATA,VARIANT,12,YES,
CUSTOMERS,STORE_ID,NUMBER,13,YES,
CUSTOMERS,ACCOUNT_ID,TEXT,14,YES,
INVENTORY_BATCHES,STORE_ID,NUMBER,1,YES,
INVENTORY_BATCHES,PRODUCT_ID,TEXT,2,YES,
INVENTORY_BATCHES,BATCH_ID,TEXT,3,YES,
INVENTORY_BATCHES,BATCH_ITEM_ID,TEXT,4,YES,
INVENTORY_BATCHES,POS_PRODUCT_ID,TEXT,5,YES,
INVENTORY_BATCHES,QUANTITY,NUMBER,6,YES,
INVENTORY_BATCHES,COST_PER_UNIT,NUMBER,7,YES,
INVENTORY_BATCHES,RECEIVE_DATE_UTC,TIMESTAMP_NTZ,8,YES,
INVENTORY_BATCHES,RECEIVE_DATE_LOCAL,DATE,9,YES,
INVENTORY_BATCHES,VENDOR_NAME,TEXT,10,YES,
INVENTORY_BATCHES,QUANTITY_IN_STOCK,NUMBER,11,YES,
INVENTORY_BATCHES,TEST_RESULTS,VARIANT,12,YES,
INVENTORY_BATCHES,ACCOUNT_ID,TEXT,13,YES,
INVENTORY_BATCHES,EXTRA_DATA,VARIANT,14,YES,
INVENTORY_HISTORY,STOCK_DATE,DATE,1,YES,
INVENTORY_HISTORY,STORE_ID,NUMBER,2,YES,
INVENTORY_HISTORY,STORE_NAME,TEXT,3,YES,
INVENTORY_HISTORY,PRODUCT_ID,TEXT,4,YES,
INVENTORY_HISTORY,QUANTITY_IN_STOCK,FLOAT,5,YES,
INVENTORY_HISTORY,AVG_COST_PER_UNIT,FLOAT,6,YES,
INVENTORY_HISTORY,ACCOUNT_ID,TEXT,7,YES,
PRODUCTS,PRODUCT_ID,TEXT,1,YES,
PRODUCTS,STORE_ID,NUMBER,2,YES,
PRODUCTS,POS_PRODUCT_ID,TEXT,3,YES,
PRODUCTS,SKU,TEXT,4,YES,
PRODUCTS,NAME,TEXT,5,YES,
PRODUCTS,BRAND,TEXT,6,YES,
PRODUCTS,CATEGORY,TEXT,7,YES,
PRODUCTS,UNIT,TEXT,8,YES,
PRODUCTS,VENDOR,TEXT,9,YES,
PRODUCTS,STRAIN,TEXT,10,YES,
PRODUCTS,THC_RESULT,TEXT,11,YES,
PRODUCTS,CBD_RESULT,TEXT,12,YES,
PRODUCTS,PRODUCT_TYPE,TEXT,13,YES,
PRODUCTS,QUANTITY_IN_STOCK,NUMBER,14,YES,
PRODUCTS,PRICE,FLOAT,15,YES,
PRODUCTS,EXTRA_DATA,VARIANT,16,YES,
PRODUCTS,_LAST_UPDATE,TIMESTAMP_LTZ,17,YES,
SALES,RECEIPT_ITEM_ID,NUMBER,1,YES,
SALES,RECEIPT_ID,NUMBER,2,YES,
SALES,RECEIPT_TYPE,TEXT,3,YES,
SALES,PAYMENT_TYPE,TEXT,4,YES,
SALES,SOLD_DATE,TIMESTAMP_NTZ,5,YES,
SALES,PRODUCT_ID,TEXT,6,YES,
SALES,POS_RECEIPT_ID,TEXT,7,YES,
SALES,PRODUCT_NAME,TEXT,8,YES,
SALES,BRAND,TEXT,9,YES,
SALES,CATEGORY,TEXT,10,YES,
SALES,UNIT,TEXT,11,YES,
SALES,VENDOR,TEXT,12,YES,
SALES,SKU,TEXT,13,YES,
SALES,CUSTOM_GROUP,TEXT,14,YES,
SALES,STORE_ID,NUMBER,15,YES,
SALES,STORE_NAME,TEXT,16,YES,
SALES,CITY,TEXT,17,YES,
SALES,STATE,TEXT,18,YES,
SALES,COUNTRY,TEXT,19,YES,
SALES,IS_MEDICAL,BOOLEAN,20,YES,
SALES,EMPLOYEE_KEY,TEXT,21,YES,
SALES,DISCOUNTS_USED,ARRAY,22,YES,
SALES,EMPLOYEE_FIRST_NAME,TEXT,23,YES,
SALES,EMPLOYEE_LAST_NAME,TEXT,24,YES,
SALES,EMPLOYEE_NAME,TEXT,25,YES,
SALES,QUANTITY,FLOAT,26,YES,
SALES,WEIGHT,FLOAT,27,YES,
SALES,BASE_PRICE,NUMBER,28,YES,
SALES,TAX,NUMBER,29,YES,
SALES,DISCOUNT,NUMBER,30,YES,
SALES,TOTAL_COST,FLOAT,31,YES,
SALES,REVENUE,NUMBER,32,YES,
SALES,PROFIT,FLOAT,33,YES,
SALES,CUSTOMER_KEY,TEXT,34,YES,
SALES,CUSTOMER_FIRST_NAME,TEXT,35,YES,
SALES,CUSTOMER_GENDER,TEXT,36,YES,
SALES,CUSTOMER_YEAR_OF_BIRTH,DATE,37,YES,
SALES,CUSTOMER_AGE_GROUP,TEXT,38,YES,
SALES,CUSTOMER_POSTAL_CODE,TEXT,39,YES,
